Egypt's top envoy in Iraq confirmed killed	0
Carter: Race relations in Palestine are worse than apartheid	0
After Years Of Dutiful Service, The Shiba Who Ran A Tobacco Shop Retires	1
In Books on Two Powerbrokers, Hints of the Future	0
These Horrifyingly Satisfying Photos Of "Baby Foot" Will Haunt You	1
You've Definitely Had These Arguments With Your BFF	1
11 Reasons Leslie Knope Is The Queen Of Compliments	1
Try And Guess What Chips These Were Before We Smashed Them	1
This Is What It Feels Like To Live With A Mental Disorder	1
Robert Pattinson Thought His "Twilight" Character Was "Suicidally Depressed"	1
Let's Find Out How Floridian You Really Are	1
The End Of Last Night's "Walking Dead" Is More Proof Glenn Is Definitely Alive	1
Johnson & Johnson to Acquire Cougar Biotechnology	0
13 Awards You Deserve If You've Ever Had A Period	1
Riots in Greece enter fourth night	0
Tom Brady Has Never Tried Coffee Before In His Life, Just Because	1
Wikinews interviews U.S. Libertarian Party potential presidential candidate R.J. Harris	0
David Lange, former New Zealand prime minister, dies at 63	0
Shaggy Returns With The Ultimate Diss Track, "GFY"	1
Warsaw court requests testimony from Thatcher and Gorbachev	0
21 Last-Minute Punches And Cocktails To Get You Through Thanksgiving Weekend	1
15 Insane Confessions Of A Buckingham Palace Guard	1
Australia Wildfire Suspects Are Freed	0
26 Seriously Awesome Gifts Only True London Underground Fans Will Love	1
14 People Describe The Exact Moment They Realised They're In Love	1
How 2015 Were You	1
17 Badass "Death Note" Tattoos That Will Give You Nightmares	1
Which Character From "The White Queen" Are You	1
17 Truths Only Book Lovers Will Understand	1
Pocket Kittens Are Real And Here Is What You Should Know About Them	1
Iraqi groups call for US pull-out	0
30 Tweets About Science That Will Make You Laugh And Then Think	1
2007 Twenty20 World Championship: India vs Scotland	0
15 Beautiful Stories From People Who Met Their Soulmates At Black Colleges	1
What Should Your Resolution Be For 2016	1
Australian Treasurer told to 'try harder on welfare'	0
You Won't Be Able To Stop Watching This Mesmerising Rangoli Video	1
Nine hundred thousand Somalis face food crisis	0
30 people die in bombing in northwestern Pakistan	0
The Movie That's Going To Make Witches Scary Again	1
17 Ways To Get Into The Holiday Spirit At Disney World	1
After Prices Rise, Profit Narrows at Molson Coors	0
We Need To Talk About Peanut Butter Baby Right Now	1
BBC broadcasts first live episode of EastEnders	0
30 dead in Baghdad bomb blasts, hundreds of people injured	0
Can You Guess The "Friends" Season Based On Joey's Fridge	1
As Tamil Rebels Lose Ground in Sri Lanka, a Crisis Flares for Trapped Civilians	0
This Man's Insane Makeup Art Will Straight Up Mesmerize You	1
African Union rejects calls for action on Zimbabwe	0
Man in Florida, USA, arrested for using 911 to complain about fast food	0
Want To Call It Frisco? Ask The Hells Angels	1
13 dead as cargo plane crashes in Congo	0
Gordon Brown: I can lead Britain through economic crisis	0
For Anyone Too Tired To Go Out On The Weekend	1
Toronto transit union threatens strike for Monday	0
Tell Us The Creepiest Thing A Child Has Ever Said To You	1
Tropical Storm Blanca forms in the Pacific	0
Afghanistan announces arrests in UN guesthouse attack	0
27 Gluttonous Foods To Eat Before Your New Year's Resolution Kicks In	1
Snarky Texts That All Siblings Send Each Other	1
Guilty Pleas in Austria Dungeon Case	0
This Film About Pixar's Tributes To Classic Cinema Is Brilliant	1
Two Palestinians die, at least seven others are wounded as Israeli attacks continue	0
NASCAR: Kurt Busch wins 2011 Budweiser Shootout	0
New Zealand Tsunami heroes to receive Special Service Medal	0
China Accuses Dissident of Subversion	0
This Is What Our Security State Looks Like In Manhattan	1
24 Times Ruby Rose And Phoebe Dahl Defined Relationship Goals In 2015	1
A Single College Student Got Tired Of Couples Pictures So She Did A Romantic Photo Shoot With Pizza	1
We Know What Unnecessary Chore Your Parents Will Make You Do By Your Zodiac Sign	1
A Lot Of People Think The Gray-Haired Reporter In "Making A Murderer" Is Hot	1
In The Event Of My Untimely Disappearance	1
"The Soup" Cancelled After 22-Year Run	1
I.B.M. Raises Its Quarterly Dividend 10%	0
How Well Do You Actually See Autumn Colors	1
Most complete dinosaur from Britain goes on display	0
38 killed in attack on Afghan bank	0
A Surprising Thing Happened When Kids Were Asked To Choose Between Happiness And Money	1
Greenpeace tries to thwart Chesapeake Bay fishing fleet	0
Friendly Reminder That One Of Saturn's Moons Looks Like The Death Star	1
Australian rules football: West Gippsland Latrobe Football League Finals Preliminary Final	0
Marcinkiewicz's cabinet given vote of confidence	0
Here Are 8 Totally Different Ways To Relieve Stress	1
PETA protests Burberry in White Plains, NY	0
7 Essays To Read: Smoking To Get Sober, Asian Pseudonyms, And Loneliness	1
New report details strain on US Army	0
Gay teachers' status uncertain after Polish election	0
18 Secrets About Being An Astronaut That NASA Won't Tell You	1
French woman admits to killing her eight infants	0
Man uses home-made flamethrower to set relatives on fire	0
Workers Protest Across France	0
Isn't She Lovely	1
China, France attempt to repair relations in wake of protests	0
15 Texts Everyone Dreads Getting During Fall	1
Everyone's Confused Why Sting Is Performing The NBA All-Star Halftime Show In Toronto	1
Zoo elephants live shorter lives than their wild counterparts, report warns	0
Recession Pain, Even in Palm Beach	0
The Luxury Travel Site Voyage.tv Has Its Debut	0
Tim Gunn Just Bashed The Kardashians	1
US congresswoman Gabrielle Giffords shot at Arizona supermarket	0
Former US Vice President Dick Cheney: 'Barack Obama is a one-term President'	0
The Sexual Tension Is Real In The New "Batman V Superman" Teaser	1
Four feared dead in Ireland helicopter crash	0
21 Steps To A Rich And Successful Life, As Told By "The Sims"	1
British actress Natasha Richardson reportedly brain dead after skiing accident	0
Bomb blast damages buildings in Athens	0
Missouri Steps Forward as Marquette Crosses the Line	0
Facebook to share the technology 'behind its servers'	0
15 Of The Most Humorously Honest Things Liam Gallagher Has Ever Said	1
Search continues for nine missing after midair collision off California	0
32 Things That Happen When Your BFF Is Also Your Soulmate	1
USA under pressure at climate talks	0
If Bad Reviews Were On Movie Posters	1
This Groom And His Best Man Celebrated Their Bromance With A Photo Shoot	1
Rebel Wilson Just Unashamedly Hit On Idris Elba At The BAFTAs	1
Dustin Johnson Takes Four-Shot Lead at Pebble Beach	0
21 Minimalist Products That Might Turn You On	1
Here's What Beauty Ads Would Look Like If They Only Used The Advertised Product	1
25 Things You'll Only Get If You're Obsessed With Baths	1
15 Dogs Who Feel A Type Of Way About Bathtime	1
This 4 Question "Gilmore Girls" Quiz Will Determine What Kind Of Coffee Drinker You Are	1
6.1 magnitude aftershock earthquake hits Haiti	0
Wake Forest Redeems Itself Against Duke	0
Long-Lost Lincoln Letter Is Returned to Archives	0
For Everyone Who Suffers From Dramatic Window Staring Disorder	1
Everyone's Favourite Childhood Anthem Just Got An Epic Makeover	1
Australian Emissions Trading Plan in Trouble	0
2007 FIFA U-17 World Cup: Ghana vs. Germany	0
Watch The Trailer For J. Cole's "Forest Hills Drive: Homecoming" HBO Special	1
16 Musicians To Add To Your New Year's Playlist	1
18 Photos Of Makeup That Will Make Every Girl Cringe	1
A World Cup Qualifier. Cool.	0
How Well Do You Actually Know Prince Eric	1
This Kid Stopped On His Way To Second Base To Tell His Baseball Coach "I Love You"	1
Wendy Williams Spills The Tea On The Summer's Hot Gossip	1
Tobacco Companies Lose Appeal	0
Ask Sarah Jessica Parker Anything You've Ever Wanted To Know About Her	1
Profit at Williams-Sonoma Plunges 90%	0
Charm and Atmosphere in Montevideo's Old Town	0
Long Island teen found guilty of hate crime	0
Firefighter killed while tackling pub blaze in Edinburgh, Scotland	0
Rachel Alexandra Takes First Step Toward the Belmont	0
Optus B1 outage leaves all New Zealand Sky TV digital subscribers without service	0
Jessica Lange Showed Up To The Emmys Rocking Transition Lens Glasses	1
Experts Compile Mock N.B.A. Drafts Because They Have To	0
Mortgages Turn Lucrative for Banks in Second Quarter	0
We Did Things Men Stereotypically Do And Here's How It Went	1
Here's The First Look At Benedict Cumberbatch As Doctor Strange	1
Signs of Health Stirring in China	0
Author of My Billion Year Contract reflects on life in elite Scientology group	0
Americans Guess German Curse Words	1
39 Times We Reached Peak "New York Times" In 2015	1
Woman found guilty of killing fiancé by drink driving in Bath, England	0
Apartment fire in south London, England claims victim from smoke inhalation	0
New York's JFK airport evacuated, reopened	0
49 Facts You Might Not Know About The "Harry Potter" Books	1
15 Confessions About What It's Like To Have A Work Wife Or Husband	1
Madonna Gets Freaky On Stage With Her Biggest Fan	1
Bush meets with President of Guatemala	0
UK PM Brown meets with US President Bush at Camp David	0
Virginians melee at used Apple iBook sale	0
Sarah Michelle Gellar Reveals Her Mysterious New "Star Wars Rebels" Role	1
